condition,sentence,prefix,suffix,target_llm,critical_word,cloze_percent,cloze_prob,zero_cloze,cloze_surprisal_raw,cloze_surprisal_smoothed,ITEM
HC,"In polluted cities, you can barely breathe the air outside the building.","In polluted cities, you can barely breathe the",outside the building., air,air,99.0,0.99,False,0.014499569695115089,0.014499569695115089,5
MC,The factory built expensive machines to filter the air outside the building.,The factory built expensive machines to filter the,outside the building., air,air,31.0,0.31,False,1.6896598793878495,1.6896598793878495,5
LC,They suspected there was something wrong with the air outside the building.,They suspected there was something wrong with the,outside the building., air,air,0.0,0.0,True,inf,19.931568569324174,5
HC,The soldier decided to quit the army after school.,The soldier decided to quit the,after school., army,army,65.0,0.65,False,0.6214883767462701,0.6214883767462701,6
MC,George chose not to join the army after school.,George chose not to join the,after school., army,army,35.0,0.35,False,1.5145731728297582,1.5145731728297582,6
LC,The students were learning about the army after school.,The students were learning about the,after school., army,army,0.0,0.0,True,inf,19.931568569324174,6
HC,"My sister enjoys poetry, painting, and other forms of art from the past.","My sister enjoys poetry, painting, and other forms of",from the past., art,art,92.0,0.92,False,0.12029423371771177,0.12029423371771177,7
MC,"Even though she's blind, she appreciates many types of art from the past.","Even though she's blind, she appreciates many types of",from the past., art,art,32.0,0.32,False,1.6438561897747246,1.6438561897747246,7
LC,They hired the consultant because of her knowledge of art from the past.,They hired the consultant because of her knowledge of,from the past., art,art,2.0,0.02,False,5.643856189774724,5.643856189774724,7
HC,They stored all of the Halloween decorations up in the attic at home.,They stored all of the Halloween decorations up in the,at home., attic,attic,89.0,0.89,False,0.16812275880832692,0.16812275880832692,8
MC,There were a lot of old clothes stored in the attic at home.,There were a lot of old clothes stored in the,at home., attic,attic,31.0,0.31,False,1.6896598793878495,1.6896598793878495,8
LC,The accountant put all of the old documents in the attic at home.,The accountant put all of the old documents in the,at home., attic,attic,0.0,0.0,True,inf,19.931568569324174,8
HC,The lumberjack chopped down the tree with his axe that looked intimidating.,The lumberjack chopped down the tree with his,that looked intimidating., axe,axe,86.0,0.86,False,0.21759143507262677,0.21759143507262677,9
MC,The man walked into the forest carrying his axe that looked intimidating.,The man walked into the forest carrying his,that looked intimidating., axe,axe,14.0,0.14,False,2.8365012677171206,2.8365012677171206,9
LC,My father scared away the burglars with his axe that looked intimidating.,My father scared away the burglars with his,that looked intimidating., axe,axe,0.0,0.0,True,inf,19.931568569324174,9
HC,The girl bought a pink tutu because she wanted to learn ballet from an expert.,The girl bought a pink tutu because she wanted to learn,from an expert., ballet,ballet,81.0,0.81,False,0.3040061868900999,0.3040061868900999,10
MC,"The girl had never danced before, but she wanted to learn ballet from an expert.","The girl had never danced before, but she wanted to learn",from an expert., ballet,ballet,17.0,0.17,False,2.5563933485243853,2.5563933485243853,10
LC,The girl was extremely excited that she was going to learn ballet from an expert.,The girl was extremely excited that she was going to learn,from an expert., ballet,ballet,1.0,0.01,False,6.643856189774724,6.643856189774724,10
HC,The man used the helium to inflate the red balloon for the child.,The man used the helium to inflate the red,for the child., balloon,balloon,99.0,0.99,False,0.014499569695115089,0.014499569695115089,11
